,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel,RightKneeAngle,LeftKneeAngle,LeftHeelAngleAngle,RightHeelAngleAngle,HipAngle,time
0,291.6,65.2,295.8,117.0,246.0,117.0,229.2,187.0,218.6,242.0,347.8,115.40256,373.0,180.0,381.6,203.0,296.0,250.0,266.4,250.0,135.0,336.0,166.0,352.0,329.2,250.0,315.0,344.0,156.0,352.0,279.2,86.0,302.4,52.8,264.2,78.0,312.6,70.0,177.0,344.0,166.0,352.0,156.0,352.0,198.0,336.0,198.0,336.0,177.0,336.0,60.50392240515976,101.4707455333833,128.87494980283515,29.1608641970196,141.6443249326222,1550516378.5871453
1,291.6,65.2,295.8,125.0,246.0,125.0,229.2,180.0,218.6,226.0,347.8,115.4,373.0,187.0,381.6,234.0,296.0,234.0,266.4,234.0,166.0,320.0,166.0,352.0,329.2,234.0,315.0,320.0,156.0,352.0,279.2,86.0,302.4,52.8,264.2,86.0,312.6,57.4,177.0,344.0,166.0,352.0,156.0,352.0,198.0,336.0,198.0,336.0,177.0,336.0,130.58249064846495,110.75508461625286,121.90651224580273,93.89096311003946,147.0587416207354,1550516378.5871453
2,291.6,65.2,295.8,133.0,246.0,121.8,229.2,180.0,218.6,226.0,347.8,115.4,373.0,172.0,381.6,211.0,296.0,211.0,266.4,211.0,177.0,334.8,166.0,352.0,329.2,211.0,315.0,289.0,156.0,352.0,279.2,57.4,302.4,52.8,264.2,60.6,312.6,57.4,177.0,344.0,166.0,352.0,156.0,352.0,198.0,336.0,198.0,336.0,177.0,336.0,176.76606030321102,121.93255315941799,111.77774389183044,137.67045514438564,153.49282633361113,1550516378.5871453
3,291.6,65.2,295.8,125.0,246.0,125.0,208.0,164.0,219.0,203.0,347.8,115.4,373.0,164.0,381.6,203.0,296.0,203.0,266.4,203.0,198.0,334.8,187.0,328.0,329.2,203.0,315.0,333.2,156.0,336.0,279.2,57.4,302.4,52.8,264.2,60.6,312.6,57.4,177.0,344.0,166.0,352.0,156.0,344.0,198.0,336.0,198.0,336.0,177.0,336.0,85.70427123647495,97.23312566251194,126.60937017288477,175.89000203872507,163.07362578299848,1550516378.5871453
4,291.6,65.2,295.8,133.0,229.0,121.8,229.0,172.0,240.0,211.0,347.8,115.4,373.0,164.0,381.6,257.8,296.0,203.0,266.4,203.0,219.0,334.8,208.0,313.0,329.2,203.0,315.0,333.2,160.2,305.0,279.2,57.4,302.4,52.8,264.2,60.6,312.6,57.4,177.0,343.872,166.0,345.6,160.2,305.0,204.2,335.872,204.2,335.872,183.2,335.872,46.55532668033917,85.89985965969461,128.772962044433,150.83241488525564,167.35380883331138,1550516378.5871453
5,291.6,65.2,295.8,125.0,240.0,121.8,240.0,172.0,218.6,262.4,347.8,115.4,373.0,164.0,381.6,218.6,296.0,195.0,266.4,195.0,240.0,334.8,208.0,305.0,329.2,256.2,315.0,333.2,219.0,297.0,279.2,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,240.0,305.0,240.0,297.0,219.0,305.0,229.0,313.0,219.0,313.0,208.0,305.0,57.73266720488813,79.78821500042207,154.86385163460048,163.60384581634514,172.2551552687255,1550516378.5871453
6,292.0,65.2,295.8,133.0,250.0,121.8,240.0,172.0,250.0,203.0,347.8,115.4,373.0,172.0,381.6,257.8,296.0,195.0,266.4,195.0,260.0,334.8,260.0,297.0,329.2,256.2,315.0,333.2,229.0,281.0,292.0,57.4,302.4,52.8,264.2,60.6,312.6,57.4,240.0,297.0,240.0,297.0,219.0,281.0,281.0,305.0,271.0,305.0,250.0,305.0,2.621152655939851,69.19206124346786,151.52826583635584,109.1989795678692,176.3158343332895,1550516378.5871453
7,291.6,65.2,281.0,156.0,271.0,121.8,250.0,180.0,250.0,211.0,347.8,115.4,373.0,187.0,381.6,226.0,296.0,257.8,266.4,257.8,250.0,334.8,260.0,297.0,329.2,256.2,315.0,333.2,260.0,281.0,279.2,57.4,302.4,52.8,264.2,60.6,312.6,57.4,281.0,289.0,281.0,281.0,260.0,281.0,271.0,305.0,271.0,305.0,250.0,297.0,2.7945523900436053,56.94502967139447,165.88116678426175,109.02998745374988,161.5713310941761,1550516378.5871453
8,291.6,65.2,292.0,195.0,271.0,121.8,240.0,187.0,250.0,219.0,347.8,115.4,373.0,187.6,381.6,206.82077385424492,296.0,211.0,266.4,203.0,260.0,334.8,260.0,297.0,329.2,211.0,315.0,333.2,271.0,281.0,279.2,57.4,302.4,52.8,264.2,60.6,312.6,57.4,281.0,281.0,281.0,281.0,260.0,281.0,271.0,305.0,260.0,305.0,250.0,305.0,2.780008990848776,46.75614823445813,148.75110489332965,119.26913973988495,162.0105770302763,1550516378.5871453
9,302.0,65.2,292.0,195.0,271.0,121.8,240.0,187.0,250.0,219.0,347.8,115.4,373.0,187.6,381.6,211.00237603305786,296.0,211.0,266.4,203.0,260.0,334.8,260.0,297.0,329.2,211.0,315.0,333.2,271.0,273.0,279.2,57.4,302.4,52.8,264.2,60.6,312.6,57.4,281.0,281.0,281.0,281.0,260.0,273.0,271.0,305.0,260.0,305.0,250.0,305.0,2.780008990848776,42.791168893678076,159.10813254587464,119.26913973988495,162.0105770302763,1550516378.5871453
10,302.0,65.2,281.0,148.0,260.0,121.8,240.0,172.0,250.0,203.0,347.8,115.4,373.0,172.0,381.6,203.0,296.0,195.0,266.4,195.0,260.0,334.8,260.0,297.0,329.2,256.2,315.0,333.2,260.0,281.0,279.2,57.4,302.4,52.8,264.2,60.6,312.6,57.4,281.0,289.0,281.0,281.0,260.0,289.0,271.0,305.0,271.0,313.0,250.0,305.0,2.621152655939851,56.94502967139447,159.70120245229782,124.9797328773846,158.80023099874396,1550516378.5871453
