,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel,Source-Image,position,RightKneeAngle,LeftKneeAngle,LeftHeelAngleAngle,RightHeelAngleAngle,HipAngle
0,382,313,400,339,330,339,295,365,347,378,452,339,469,365,417,378,382,443,347,443,313,456,330,534,417,443,486,456,452,534,365,300,400,300,347,313,417.0,313.0,452,573,469,560,434,547,313,573,313,573,347,547,front/right_bottom/20181226_155621.jpg,right_bottom,98.62923532192303,77.11751913160204,59.30709274995831,54.91078549034775,116.78777417384963
1,400,313,400,339,347,339,330,365,347,352,452,339,452,352,417,352,400,430,365,430,313,417,347,482,417,430,469,417,452,482,382,300,400,300,365,300,417.0,300.0,469,508,469,508,434,495,313,508,313,508,347,482,front/right_bottom/20181226_155741.jpg,right_bottom,48.35072870898905,61.3070054163131,61.71332599042638,80.20767119167593,34.69515353123396
2,400,273,400,300,347,286,330,313,365,326,452,286,469,313,417,326,400,378,365,378,330,378,347,469,417,378,469,391,452,469,382,273,400,273,365,260,417.0,260.0,469,495,486,495,434,482,313,508,313,495,365,482,front/right_bottom/20181226_155958.jpg,right_bottom,79.41836447905621,91.74097704492833,69.82350346919081,73.77211266979317,175.60129464500451
3,400,365,400,352,347,352,313,443,313,521,452,352,486,443,504,534,400,417,365,417,330,430,365,482,417,417,469,417,434,482,400,352,417,352,365,339,434.0,339.0,452,508,452,495,417,482,347,508,347,508,365,482,front/right_bottom/20181231_163012.jpg,right_bottom,76.43284819408458,61.69924423399363,78.04422793378018,68.63874055098579,175.60129464500443
4,365,300,382,339,313,339,278,404,260,482,434,326,486,404,504,469,382,417,365,417,330,404,347,482,417,417,434,404,434,482,365,300,382,300,330,286,417.0,286.0,452,508,469,495,434,482,330,508,313,508,347,482,front/right_bottom/20181231_163123.jpg,right_bottom,57.328298363165466,52.59464336859145,31.34958086524301,56.739014195917484,0.0
5,365,247,365,313,295,313,278,391,313,456,434,300,434,391,382,456,382,404,330,404,243,417,313,495,417,404,486,404,452,495,347,234,382,234,330,247,400.0,247.0,486,534,504,521,434,508,260,534,260,521,330,508,front/right_bottom/20181231_163129.jpg,right_bottom,56.5926169384108,69.51298580666929,77.09022647074009,109.9750020691963,99.7947996928926
6,365,247,365,300,295,313,278,391,313,456,434,300,452,391,382,456,382,391,347,391,260,417,313,508,417,391,486,404,452,508,347,234,382,234,330,247,400.0,247.0,486,534,504,534,434,508,260,534,260,521,330,508,front/right_bottom/20181231_163131.jpg,right_bottom,76.42153171304197,82.56601976999005,73.41980043683849,106.45935393819768,144.64322391022426
7,400,260,400,326,330,326,313,417,347,482,469,326,486,404,434,469,400,417,347,417,278,417,330,508,434,417,521,417,469,508,382,260,417,260,365,260,434.0,260.0,521,534,521,521,469,508,295,534,278,534,347,508,front/right_bottom/20181231_163158.jpg,right_bottom,60.25511870305777,60.25511870305777,89.15747573925958,97.05230600784118,90.0
8,382,260,382,313,313,313,295,378,347,417,452,300,486,378,434,417,382,391,347,391,295,417,330,508,434,391,486,417,469,495,365,247,400,247,347,247,417.0,247.0,486,534,486,521,452,508,313,534,295,534,347,508,front/right_bottom/20181231_163203.jpg,right_bottom,95.52754015165618,104.26978475407985,52.80694990629679,78.54629810721096,161.8962369654934
9,400,260,400,313,330,313,295,378,347,417,452,313,486,378,434,417,400,391,347,391,295,417,330,508,434,391,504,417,469,495,382,247,400,247,347,260,434.0,260.0,486,534,504,534,452,508,313,534,295,534,347,508,front/right_bottom/20181231_163205.jpg,right_bottom,95.52754015165618,86.2098053708509,68.4869037376929,78.54629810721096,178.8982938847933
10,382,247,382,300,313,286,243,339,226,378,434,300,486,326,521,378,382,391,330,391,295,404,313,495,417,378,469,404,452,495,365,234,400,234,347,247,417.0,247.0,452,521,469,521,434,495,295,521,278,521,313,495,front/right_bottom/20181231_163334.jpg,right_bottom,99.18763528558459,105.98341565613421,40.735718714131245,56.73445752166753,180.0
11,382,273,382,313,313,313,278,378,278,443,452,313,486,378,469,430,382,404,347,404,313,391,313,482,417,404,452,391,452,482,365,260,400,260,347,260,417.0,260.0,452,508,469,508,434,482,295,521,278,508,313,482,front/right_bottom/20181231_163337.jpg,right_bottom,69.07549825507884,69.62356478616363,29.867782018857834,39.193273094468424,2.2025981617659673
12,382,273,382,313,330,313,295,378,295,430,452,313,486,378,486,430,382,417,365,417,313,391,330,482,417,417,452,391,452,482,382,260,400,260,347,260,417.0,260.0,469,508,486,508,452,482,313,521,295,508,330,495,front/right_bottom/20181231_163349.jpg,right_bottom,52.853313301978226,53.3929251873925,31.879596847022736,54.89060494175803,1.1017061152063952
13,417,260,400,300,330,300,278,352,278,404,452,300,504,352,521,404,382,404,365,404,313,391,330,482,417,404,486,378,452,469,400,247,417,247,365,260,,,469,508,486,495,452,482,313,508,295,508,330,482,front/right_bottom/20181231_163355.jpg,right_bottom,65.38212101112973,48.86599498169894,57.377214861061525,55.5816355209438,32.086641302325
14,417,260,400,313,330,313,260,365,243,430,452,313,521,365,539,430,400,404,365,404,295,391,330,482,434,404,486,391,452,469,400,247,417,247,365,260,,,469,508,486,495,452,482,313,508,295,508,347,482,front/right_bottom/20181231_163357.jpg,right_bottom,58.44170466070383,52.41149285917887,60.571468891213016,78.54629810721096,36.15818543980833
15,400,260,400,313,330,313,295,378,347,417,452,313,486,378,434,417,400,391,365,391,295,404,330,469,434,391,504,391,452,469,382,247,400,247,347,260,417.0,260.0,469,508,486,495,434,469,313,508,295,508,347,482,front/right_bottom/20181231_163433.jpg,right_bottom,72.22002854786798,56.309932474020215,81.35273904039676,78.02579429189403,175.60129464500451
16,382,260,382,300,330,313,278,378,330,417,452,300,504,365,452,417,382,391,347,391,295,417,330,482,434,391,486,404,452,482,365,247,400,247,347,260,417.0,260.0,469,508,486,508,434,482,313,508,295,508,347,482,front/right_bottom/20181231_163438.jpg,right_bottom,88.2642954110716,80.48397979503183,74.3944715636333,86.78912915287734,156.44773632710533
17,347,260,347,273,295,273,278,300,278,326,400,273,400,313,347,326,365,352,330,352,260,378,295,430,382,352,434,378,417,443,330,247,365,247,313,247,382.0,247.0,434,469,434,469,400,443,260,469,260,456,313,443,front/right_bottom/20181231_163600.jpg,right_bottom,76.43284819408458,101.90830006131758,59.30113317843126,96.36894364749396,132.4692369823646
18,382,300,400,326,347,326,295,365,260,417,452,326,486,365,504,417,400,391,365,391,313,404,347,456,417,391,486,404,452,456,382,286,400,286,365,286,417.0,286.0,452,482,469,469,434,456,330,482,330,469,365,456,front/right_bottom/20181231_175854.jpg,right_bottom,70.85773180853373,67.49127114510392,79.83951745406307,92.71823320183894,177.7974018382342
