,Unnamed: 0,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel,RightKneeAngle,LeftKneeAngle,LeftHeelAngleAngle,RightHeelAngleAngle,HipAngle,time,XHead,YHead,label
3,3,197.8,93.0,198.0,140.10399999999998,198.0,128.52,166.0,135.6,124.8,140.0,250.0,150.28,256.2,187.0,246.0,270.6,210.4,211.8,191.6,203.0,133.0,242.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,313.0,191.4,148.0,206.2,86.0,183.2,148.0,225.2,93.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,320.0,198.0,326.4,198.0,328.0,240.0,320.0,107.16803580317185,167.33171768698068,134.0538599990527,35.325333110422214,141.85421260333132,1550512003.0258222,200.76000000000005,113.6,bottom
7,7,197.8,93.0,198.0,125.0,198.0,117.0,166.0,135.6,124.8,162.6,250.0,125.0,256.2,172.0,246.0,270.6,210.4,203.0,191.6,203.0,133.0,234.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,313.0,191.4,148.0,206.2,86.0,183.2,148.0,225.2,93.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,320.0,187.2142857142857,326.4,198.0,328.0,228.95833333333331,284.1666666666667,102.99303185519423,167.33171768698068,134.0538599990527,39.90308725901792,144.68362745688316,1550512003.0258222,200.76000000000005,113.6,bottom
12,12,170.05714285714288,93.2,203.74776785714286,108.13169642857143,176.8,129.4,166.0,135.6,124.8,133.0,250.0,154.6,256.2,215.6,246.0,270.6,219.0,214.0,191.6,203.0,133.0,219.0,154.0,313.0,219.0,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,178.1795918367347,86.71020408163265,183.2,148.0,225.2,88.86297376093296,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,328.0,187.0,326.4,187.0,324.8,235.47817460317458,305.32539682539687,92.67833387485548,179.1736531126103,143.67970394593883,59.61368448344975,128.1694651290424,1550512003.0258222,189.60734693877552,112.95463556851311,bottom
16,16,160.01632653061225,85.50357142857142,201.499503968254,140.4,176.8,129.4,166.0,135.6,124.8,125.0,250.0,154.6,256.2,215.6,246.0,270.6,219.0,214.0,191.6,203.0,133.0,219.0,154.0,313.0,219.0,222.0,219.0,286.2,237.42405342447518,313.0,191.4,148.0,206.2,77.91720116618076,183.2,148.0,225.2,81.97870678883798,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,328.0,198.0,326.4,198.0,328.0,237.72352380952384,312.6121904761905,92.67833387485548,145.4928512089814,98.25928178147966,25.377418551966795,118.53818952724713,1550512003.0258222,193.20326530612246,108.27989587671803,bottom
19,19,197.8,86.0,198.0,117.0,198.0,109.0,166.0,135.6,124.8,126.5305396825397,250.0,117.0,256.2,172.0,246.0,270.6,210.4,214.0,191.6,195.0,133.0,226.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,78.0,183.2,148.0,225.2,86.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,320.0,190.21974206349205,327.2608134920635,192.33341269841273,324.0515873015873,235.792906031746,313.6298082539683,104.30886431905029,169.89448545551778,134.0538599990527,51.67950935407749,138.89959274285937,1550512003.0258222,200.76000000000005,109.2,bottom
22,22,197.8,86.0,198.0,117.0,176.8,109.0,166.0,135.6,124.8,127.7738742621987,250.0,117.0,256.2,172.0,246.0,270.6,210.4,214.0,191.6,195.0,133.0,226.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,78.0,183.2,148.0,225.2,78.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,320.0,189.02466564857238,321.1702161136564,189.7279207737517,319.43616085890136,235.16629074368018,315.87840965314524,104.30886431905029,169.89448545551778,134.0538599990527,76.45385233948222,138.89959274285937,1550512003.0258222,200.76000000000005,107.6,bottom
24,24,161.2003123698459,84.16355685131195,202.215270888448,140.4,176.8,129.4,166.0,135.6,124.8,128.0064648389836,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,219.0,154.0,313.0,219.0,222.0,219.0,286.2,237.42405342447518,313.0,191.4,148.0,206.2,74.91160825846373,183.2,148.0,225.2,79.75336381949698,229.00689968943746,317.40042938246427,251.14371003329543,336.0,237.8181818181818,320.0,187.0,323.3027083544096,187.0,320.4087376318336,233.8927281578589,318.3668453797554,92.67833387485548,145.4928512089814,108.97853616952216,80.60292513085501,131.94730226166678,1550512003.0258222,193.4400624739692,106.96570578585454,bottom
27,27,166.0,86.0,198.0,117.0,198.0,117.0,141.4,147.0,156.0,133.0,250.0,117.0,256.2,164.0,246.0,270.6,210.4,214.0,191.6,195.0,133.0,226.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,313.0,191.4,148.0,206.2,78.0,183.2,148.0,225.2,78.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,320.0,188.16711991696582,321.4770687081441,188.553407910725,320.48457692892515,233.35105262645504,319.5041959449736,104.30886431905029,167.33171768698068,134.0538599990527,82.25462044405339,138.89959274285937,1550512003.0258222,194.4,107.6,bottom
29,29,160.521517819956,85.04673052894628,199.65190886105597,140.4,197.95833333333331,129.4,141.4,140.86111111111111,124.8,135.15820463870634,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,218.0,154.0,305.0,237.4,222.0,231.4,286.2,237.42405342447518,313.0,191.4,148.0,206.2,75.68903093098966,183.2,148.0,225.2,79.50096109128485,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,320.0,187.5823043161763,326.4,187.76227623293352,317.50856354678785,232.62241244913417,320.9414158773208,90.7874339776738,161.9924808832431,134.0538599990527,64.53377046493219,135.18433503771544,1550512003.0258222,193.3043035639912,107.24734451024415,bottom
31,31,197.8,84.62908157469948,197.79392826478858,117.0,187.0,117.0,141.4,132.5054012345679,146.0,164.0,250.0,117.0,256.2,172.0,246.0,270.6,210.4,214.0,191.6,203.0,133.0,219.3636363636364,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,313.0,191.4,148.0,206.2,75.73390356406057,183.2,148.0,225.2,78.6477271648739,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,320.0,187.679355035539,326.4,187.88932227175582,318.855228899824,233.20456876635743,319.8053590369653,92.96134836680588,167.33171768698068,134.0538599990527,75.04979889826294,136.57278809526585,1550512003.0258222,200.76000000000005,107.00214246072679,bottom
