,Unnamed: 0,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel,RightKneeAngle,LeftKneeAngle,LeftHeelAngleAngle,RightHeelAngleAngle,HipAngle,time,XHead,YHead,label
6,6,197.8,88.38450413223141,198.0,140.4,176.8,129.4,166.0,135.6,124.8,124.66666666666669,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,242.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,81.40725248777197,183.2,148.0,225.2,62.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,328.0,187.25,326.4,190.62857142857143,324.8,240.0,320.0,107.16803580317185,169.89448545551778,143.67970394593883,82.19886078101518,141.06267616434278,1550512003.0258222,200.76000000000005,105.55835132400068,top
10,10,197.8,87.7580954169797,198.0,140.4,176.8,129.4,166.0,135.6,124.8,124.05555555555556,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,234.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,313.0,191.4,148.0,206.2,80.682494365139,183.2,148.0,225.2,62.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,320.0,188.4642857142857,326.4,191.33650793650796,320.06349206349205,234.952380952381,303.61904761904765,102.99303185519423,167.33171768698068,158.25716421548103,56.648705135667896,138.98202082937314,1550512003.0258222,200.76000000000005,105.28811795642373,top
14,14,197.8,78.0,198.0,109.0,198.0,109.0,166.0,135.6,124.8,126.70679012345677,250.0,117.0,256.2,164.0,246.0,270.6,210.4,214.0,191.6,203.0,133.0,229.5,154.0,310.6,231.4,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,70.0,183.2,148.0,225.2,70.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,328.0,190.26537698412702,323.30406746031747,191.66706349206348,323.2579365079365,235.87777777777782,306.62222222222226,99.81606842609669,169.89448545551778,143.67970394593883,53.21116420333671,140.5197052541963,1550512003.0258222,200.76000000000005,102.8,top
18,18,197.8,78.0,198.0,109.0,176.8,129.4,166.0,135.6,124.8,126.55102292768959,250.0,109.0,256.2,172.0,246.0,270.6,210.4,214.0,191.6,203.0,133.0,227.3181818181818,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,70.0,183.2,148.0,225.2,78.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,328.0,192.05307539682542,327.2608134920635,192.3334126984127,324.0515873015873,237.62623936507939,312.296474920635,98.76644899103785,169.89448545551778,113.72687597211822,51.90841198949481,139.85963061781175,1550512003.0258222,200.76000000000005,104.4,top
21,21,159.82609329446063,83.57244897959184,208.0,140.4,176.8,129.4,166.0,135.6,124.8,126.44054092886536,250.0,154.6,256.2,215.6,246.0,270.6,219.0,214.0,208.0,203.0,133.0,219.0,154.0,309.0,229.0,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,74.69062890462305,183.2,148.0,225.2,80.13677336823945,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,328.0,190.1465824425008,323.0239390994493,190.76193067703275,320.50664075153867,235.53160975308643,315.41180691358034,88.90855283648865,172.035386821841,113.72687597211822,57.808384594884004,127.86723461995352,1550512003.0258222,193.16521865889212,106.87997025049087,top
23,23,166.0,78.0,198.0,109.0,198.0,109.0,166.0,135.6,124.8,127.7985445659416,250.0,109.0,256.2,164.0,246.0,270.6,210.4,214.0,191.6,203.0,133.0,219.0,154.0,310.6,231.4,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,70.0,183.2,148.0,225.2,78.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,328.0,189.31390359836843,323.48024698703585,190.11762374143052,321.4984695530302,234.81596777238883,316.6690398334313,92.35930284720128,169.89448545551778,113.72687597211822,60.89871297985953,137.11409476459897,1550512003.0258222,194.4,104.4,top
26,26,166.0,86.0,208.0,109.0,176.8,109.0,166.0,135.6,124.8,133.6102681372924,250.0,117.0,256.2,172.0,246.0,270.6,210.4,214.0,191.6,195.0,133.0,219.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,70.0,183.2,148.0,225.2,78.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,328.0,188.4970303378883,321.7348804400283,188.92149503844294,320.48825423269415,233.7144788142269,318.822131106408,99.67853283603287,169.89448545551778,113.72687597211822,76.83677743407887,142.53986865129048,1550512003.0258222,194.4,106.0,top
28,28,161.771517819956,84.04673052894627,199.65190886105597,140.4,197.95833333333331,129.4,141.4,144.16666666666666,124.8,134.23824712961076,250.0,154.6,256.2,215.6,246.0,270.6,208.0,214.0,208.0,203.0,133.0,219.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,313.0,191.4,148.0,206.2,74.68903093098963,183.2,148.0,225.2,79.50096109128485,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,328.0,187.8296756422037,326.4,188.09875444843303,318.07855011910823,232.98800500301002,320.2293532033392,89.44924518678188,167.33171768698068,143.67970394593883,76.30042696857709,139.77035265248858,1550512003.0258222,193.5543035639912,106.84734451024414,top
30,30,197.8,83.66902101952095,198.0,109.0,187.0,109.0,141.4,137.00462962962962,124.8,139.65739653383338,250.0,109.0,256.2,172.0,246.0,270.6,210.4,214.0,191.6,203.0,133.0,226.0,154.0,308.42857142857144,231.4,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,70.0,183.2,148.0,225.2,78.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,320.0,187.679355035539,326.4,187.8893222717557,324.8,233.3468949389611,319.5296990527849,97.13661950512514,169.89448545551778,158.25716421548103,61.46602277113296,139.44932664867062,1550512003.0258222,200.76000000000005,105.5338042039042,top
32,32,158.899005091416,84.29906586541324,197.03375752467912,140.4,194.4469696969697,129.4,141.4,135.6,124.8,125.0,250.0,154.6,256.2,215.6,240.0,270.6,219.0,214.0,208.0,203.0,133.0,211.0,154.0,310.30357142857144,219.0,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,76.05400883742561,183.2,148.0,225.2,78.42884602608139,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,328.0,187.49222624330295,326.4,187.6491353919504,324.8,233.10258675678355,320.0020046230767,84.14795437846655,179.1736531126103,143.67970394593883,59.96184696380576,116.61717782811544,1550512003.0258222,192.9798010182832,106.95638414578404,top
35,35,197.8,78.0,197.62089814143815,140.4,187.0,129.4,141.4,135.6,156.0,164.0,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,219.0,154.0,310.8928571428571,231.4,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,70.0,183.2,148.0,225.2,70.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,320.0,187.27481776484333,326.4,187.3604377806541,318.55566484788034,233.1545630687537,319.9029276122586,92.39908086079849,169.89448545551778,158.25716421548103,73.6267791056997,133.99924335753406,1550512003.0258222,200.76000000000005,102.8,top
37,37,197.8,85.35330453297522,197.7666351680649,140.4,198.0,129.4,141.4,135.6,124.8,133.9222448796768,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,219.0,154.0,305.0,240.0,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,76.58685966783588,183.2,148.0,225.2,78.3903845788804,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,328.0,187.0,326.4,187.0,324.8,233.09840228038314,320.012016181591,91.54936669782505,162.26477020015406,113.72687597211822,59.497580242031916,134.10941248911305,1550512003.0258222,200.76000000000005,107.2661097559383,top
39,39,197.8,78.0,198.0,140.4,187.0,129.4,141.4,135.6,124.8,135.3498547314241,250.0,154.6,256.2,164.0,246.0,270.6,210.4,214.0,191.6,203.0,133.0,234.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,320.0,223.66666666666663,131.27777777777777,206.2,70.0,183.2,148.0,225.2,70.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,320.0,187.0889176527441,321.34994726549087,187.1165942986321,321.2749857341585,233.1064997455538,319.9965089202132,102.99303185519423,169.89448545551778,158.25716421548103,89.5432881668003,138.98202082937314,1550512003.0258222,207.2133333333333,99.45555555555555,top
43,43,197.8,62.0,198.0,140.4,198.0,129.4,141.4,135.6,124.8,131.26094129970855,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,226.0,154.0,313.0,240.0,222.0,231.4,286.2,237.42405342447518,320.0,205.0401298765432,112.20775201646087,206.2,62.0,183.2,148.0,225.2,62.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,320.0,186.97183361506973,322.9928420758546,187.033312656752,321.8285673526167,234.25501243741718,319.9978568363704,97.85914930356725,162.26477020015406,158.25716421548103,84.3535224770324,136.62120652522958,1550512003.0258222,203.48802597530866,89.24155040329217,top
47,47,197.8,70.0,198.0,140.4,198.0,129.4,141.4,135.6,124.8,131.97362702088492,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,219.0,154.0,311.6666666666667,231.4,222.0,231.4,286.2,237.42405342447518,320.0,195.81589629629627,102.76389382716049,206.2,62.0,183.2,148.0,225.2,70.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,320.0,186.9161297391938,324.8548552517213,187.01295492207024,322.84652619268434,235.23502284892297,319.9975243042676,92.50303500536984,169.89448545551778,134.0538599990527,76.1334661385229,134.28597464115796,1550512003.0258222,201.64317925925926,90.5527787654321,top
51,51,197.8,70.0,198.0,140.4,198.0,129.4,141.4,135.6,124.8,132.98761527275843,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,226.0,154.0,312.41269841269843,231.4,222.0,231.4,286.2,237.42405342447518,313.0,188.973605297668,95.75869113808871,206.2,62.0,183.2,148.0,225.2,70.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,320.0,188.38783525619868,325.95635552821864,187.0039280230184,323.7351712071113,237.2685109321996,319.9983707255226,97.77036229042491,167.33171768698068,158.25716421548103,77.3500300405623,136.62120652522958,1550512003.0258222,200.27472105953362,89.15173822761774,top
53,53,157.71688934688092,68.76501677692958,198.0,140.4,187.0,129.4,141.4,135.6,124.8,133.3947909127989,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,226.0,154.0,310.9824478551751,229.0,222.0,219.0,286.2,237.42405342447518,313.0,185.79135042059133,92.5006682877483,206.2,73.2324613722138,183.2,148.0,225.2,63.44409071505575,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,320.0,187.0,326.4,187.0,324.8,238.0619478772937,319.9987146870636,97.54929846534056,136.63941871461037,109.1729386932463,76.9333574983883,131.18438435099802,1550512003.0258222,191.62164795349446,89.18844743038949,top
56,56,157.6943966587029,65.34484899301886,214.6,140.4,195.8181818181818,129.4,141.4,135.6,124.8,138.22005616706474,250.0,154.6,256.2,215.6,250.0,270.6,208.0,214.0,198.0,203.0,133.0,211.0,154.0,313.0,219.0,222.0,219.0,286.2,237.42405342447518,313.0,175.7688504894579,83.7633469296831,206.2,69.63784610634681,183.2,148.0,225.2,53.824271742928715,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,320.0,187.0,326.4,187.0,324.8,238.19315478077996,319.99886642963605,85.38286774578248,145.4928512089814,109.1729386932463,75.87002933278096,142.35986762837953,1550512003.0258222,189.61264942963217,84.1140627543955,top
60,60,164.26734916467572,83.8362122482547,208.0,140.4,176.8,129.4,141.4,123.87188948548092,124.8,146.60753821419246,250.0,154.6,256.2,215.6,240.0,270.6,208.0,214.0,198.0,203.0,133.0,219.0,154.0,313.0,219.0,222.0,219.0,286.2,237.42405342447518,313.0,178.77151191145583,86.20963432910072,206.2,70.18224174467052,183.2,146.44444444444446,225.2,58.31717904684329,229.00689968943746,317.40042938246427,251.14371003329543,336.0,240.0,320.0,187.0,326.4,187.0,324.8,234.56927010190887,321.55469686193607,91.23532101617702,145.4928512089814,109.1729386932463,73.1421449855167,140.3407405905017,1550512003.0258222,191.52777221522632,88.99794236266274,top
63,63,197.8,78.0,199.53792798110982,109.0,198.0,129.4,141.4,135.6,124.8,148.0,250.0,109.0,256.2,164.0,246.0,270.6,210.4,214.0,191.6,203.0,133.0,234.0,154.0,311.875,231.4,222.0,231.4,286.2,237.42405342447518,313.0,180.62472588060186,89.20898926120697,206.2,70.0,183.2,144.73985890652554,225.2,70.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,320.0,187.0236695068141,330.45834214144736,187.00008547669984,329.81446947396586,231.9629074107421,323.2595613889098,102.78772602561692,167.33171768698068,158.25716421548103,61.07426215067916,142.63916189664081,1550512003.0258222,198.60494517612037,90.3897696335465,top
67,67,197.8,84.99327596143931,198.0,140.4,198.0,129.4,141.4,135.6,124.8,153.9720063551884,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,226.0,154.0,312.6232638888889,231.4,222.0,231.4,286.2,237.42405342447518,320.0,178.19026324980797,86.38253260690935,206.2,71.1196161729209,183.2,142.99085505258344,225.2,70.0,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,328.0,187.01195998889287,331.96676245015686,187.0000431906076,331.6414193827258,228.86117146045106,325.0087733070478,97.8023258990791,169.89448545551778,143.67970394593883,51.003887564867114,136.62120652522958,1550512003.0258222,198.1180526499616,91.0972559587706,top
72,72,160.98175299601144,80.07372552180756,200.8494897959184,105.93877551020408,176.8,129.4,141.4,135.6,124.8,141.96459181799054,250.0,106.265306122449,256.2,215.6,246.0,270.6,219.0,214.0,191.6,203.0,133.0,211.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,313.0,174.27880134418794,79.46438457049263,206.2,69.05964412232467,183.2,141.9447888692926,225.2,71.11157060112937,229.00689968943746,317.40042938246427,251.14371003329543,336.0,229.0,320.0,187.0043659191803,327.60717818977736,187.0000157664613,327.48841373681626,228.60063686435348,326.05496802868345,86.14025815093024,167.33171768698068,158.25716421548103,56.4315201092748,123.7004533407587,1550512003.0258222,189.97211086803992,88.33082273700937,top
